"Unit","Treatment","Plot","Pos","Species","Age","Plant.date","Date","Surv","Ht","Rt","Lfdmg","Browse"
3,"Clearcut","3HC","A3","W",0,"5/9/2011","7/11/2011",0,NA,NA,NA,""
3,"Clearcut","2HN","A6","W",0,"5/9/2011","7/13/2011",0,NA,NA,NA,""
3,"Clearcut","4HC","A1","W",0,"5/9/2011","7/13/2011",1,9.3,2.94,0,"0"
3,"Clearcut","3HN","A8","B",0,"5/9/2011","7/11/2011",1,9,3.01,0,"0"
3,"Clearcut","3NN","A2","B",0,"5/9/2011","7/13/2011",1,7,2.2,0,"0"
3,"Clearcut","1NC","C3","B",0,"5/9/2011","7/14/2011",0,NA,NA,NA,""
3,"Clearcut","3NN","F2","B",1,"5/23/2011","7/13/2011",1,50.5,4.52,0,"0"
3,"Clearcut","3HC","D3","W",1,"5/23/2011","7/11/2011",1,42.1,6.75,0,"0"
3,"Clearcut","1NC","A7","W",0,"5/9/2011","7/14/2011",1,13,3.33,0,"0"
3,"Clearcut","3HN","C8","B",0,"5/9/2011","7/11/2011",1,5.9,2.56,0,"0"
